VILLAGE,Latitude,Longitude,Ca,ACTUAL_Ca,Mg,ACTUAL_Mg,Cl,ACTUAL_Cl,SO4,ACTUAL_SO4,NO3,ACTUAL_NO3,F,ACTUAL_F,TDS,ACTUAL_TDS,pH,ACTUAL_pH,RASTERVALU,cluster,risk_level,contaminant_1,contaminant_2,contaminant_3,disease_1,disease_2,disease_3
Asurchhapal,22.1769,84.8839,38,0,25.5,0,147,0,96.2,0,9.6,0,0.9,0,916,1,8.0,0,132,1,High Risk,F,Mg,Cl,Skeletal fluorosis,Dental fluorosis,Joint pain
Badibahal,21.9773,83.6564,40,0,13.4,0,57,0,2.0,0,6.2,0,0.2,0,203,0,7.8,0,84,2,Low Risk,Mg,Ca,F,Skeletal fluorosis,Blue baby syndrome,Methemoglobinemia
Badmal,22.3393,84.4425,22,0,17.0,0,32,0,9.6,0,23.2,0,0.3,0,174,0,8.0,0,126,2,Low Risk,NO3,Mg,F,Blue baby syndrome,Methemoglobinemia,Thyroid problems
Bagiaberni,22.3872,84.0482,22,0,12.2,0,22,0,56.7,0,1.6,0,0.4,0,257,0,7.8,0,142,0,Medium Risk,F,Mg,SO4,Skeletal fluorosis,Dental fluorosis,Diarrhea
Bakartola,21.9947,85.0236,42,0,19.4,0,37,0,6.2,0,4.7,0,0.2,0,226,0,7.5,0,129,0,Medium Risk,Mg,Ca,F,Diarrhea,Muscle weakness,Skeletal fluorosis
Bandega,22.4976,84.0396,22,0,35.2,1,42,0,3.7,0,5.9,0,0.5,0,217,0,8.0,0,140,0,Medium Risk,Mg,F,NO3,Skeletal fluorosis,Diarrhea,Muscle weakness
Bandhberna,21.7839,85.0039,14,0,9.7,0,10,0,5.5,0,3.5,0,0.1,0,81,0,7.9,0,159,2,Low Risk,Mg,NO3,Ca,Diarrhea,Blue baby syndrome,Muscle weakness
Bandhpali,22.1078,83.9881,42,0,29.2,0,85,0,7.6,0,20.7,0,0.3,0,374,0,8.1,0,142,0,Medium Risk,NO3,Mg,Ca,Blue baby syndrome,Methemoglobinemia,Thyroid problems
Basjore,22.3678,84.8328,20,0,12.2,0,11,0,5.9,0,0.1,0,0.2,0,116,0,7.8,0,168,2,Low Risk,Mg,F,Ca,Skeletal fluorosis,Diarrhea,Dental fluorosis
Bhalulata,22.2274,84.9821,34,0,8.5,0,30,0,13.2,0,1.4,0,0.4,0,192,0,8.2,0,140,2,Low Risk,F,Ca,Mg,Skeletal fluorosis,Dental fluorosis,Joint pain
Bheluantikra,21.8896,83.7823,20,0,8.5,0,20,0,0.0,0,6.1,0,0.1,0,108,0,7.9,0,112,2,Low Risk,NO3,Mg,Ca,Blue baby syndrome,Methemoglobinemia,Thyroid problems
Bhoagra,21.8061,85.0128,50,0,30.4,1,80,0,27.5,0,36.5,0,0.2,0,344,0,8.3,0,139,0,Medium Risk,NO3,Mg,Ca,Blue baby syndrome,Methemoglobinemia,Thyroid problems
Bhojpur,22.147,84.1682,30,0,14.6,0,38,0,5.2,0,7.2,0,0.3,0,159,0,7.9,0,129,2,Low Risk,Mg,F,NO3,Skeletal fluorosis,Dental fluorosis,Blue baby syndrome
Bilaimunda,22.0429,83.6221,56,0,23.1,0,72,0,9.1,0,15.4,0,0.2,0,322,0,8.0,0,110,0,Medium Risk,Mg,NO3,Ca,Blue baby syndrome,Methemoglobinemia,Thyroid problems
Birbira,22.0701,84.2059,22,0,76.5,1,140,0,49.2,0,47.6,1,0.4,0,500,0,8.1,0,105,1,High Risk,Mg,NO3,F,Blue baby syndrome,Methemoglobinemia,Thyroid problems
Bishpur,22.3866,84.6483,26,0,7.3,0,45,0,3.1,0,33.3,0,0.1,0,186,0,7.9,0,166,2,Low Risk,NO3,Ca,Mg,Blue baby syndrome,Methemoglobinemia,Thyroid problems
Dasrajpur,22.1644,84.1357,44,0,15.8,0,45,0,8.3,0,0.2,0,0.2,0,232,0,8.2,0,104,2,Low Risk,Mg,Ca,F,Diarrhea,Skeletal fluorosis,Kidney stones
Deobhuvanpur,22.2893,83.9139,42,0,4.9,0,28,0,23.7,0,6.7,0,0.9,0,182,0,8.1,0,142,2,Low Risk,F,Ca,NO3,Skeletal fluorosis,Dental fluorosis,Joint pain
Dimrikada,21.8178,84.9297,46,0,41.3,1,75,0,65.5,0,10.4,0,0.4,0,346,0,8.1,0,124,0,Medium Risk,Mg,F,Ca,Diarrhea,Muscle weakness,Skeletal fluorosis
Duduka,22.0243,83.808,46,0,42.5,1,102,0,50.0,0,42.0,0,0.4,0,410,0,8.2,0,124,0,Medium Risk,NO3,Mg,F,Blue baby syndrome,Methemoglobinemia,Thyroid problems
